Date,Price,Volume
2024-04-29,172.68,68169400.0
2024-04-26,168.5,44838400.0
2024-04-25,169.09,50558300.0
2024-04-24,168.23,48251800.0
2024-04-23,166.12,49537800.0
2024-04-22,165.06,48116400.0
2024-04-19,164.22,67772100.0
2024-04-18,166.25,43122900.0
2024-04-17,167.21,50901200.0
2024-04-16,168.58,73711200.0
2024-04-15,171.88,73531800.0
2024-04-12,175.72,101593300.0
2024-04-11,174.22,91070300.0
2024-04-10,166.99,49709300.0
2024-04-09,168.87,42451200.0
2024-04-08,167.66,37425500.0
2024-04-05,168.78,42055200.0
2024-04-04,168.03,53704400.0
2024-04-03,168.85,47691700.0
2024-04-02,168.05,49329500.0
2024-04-01,169.23,46240500.0
